Symbol,Open,High,Low,LTP,Chng,% Chng,Volume (lacs),Turnover (crs.),52w H,52w L,365 d % chng,30 d % chng,Returns %
AXISBANK,669,674.9,660.45,661,-18.9,-2.78,102.53,684,866.9,568.4,10.19,-21.49,25
COALINDIA,157.75,159.4,155.35,155.9,-2.65,-1.67,118.3,185.5,203.8,123.25,25.78,-10.94,53.7183
DRREDDY,"4,580.00","4,820.00","4,576.15","4,750.00",158.4,3.45,10.72,508.97,"5,614.60","4,135.00",-1.17,1.8,4.512838
HDFCBANK,"1,500.00","1,506.70","1,485.00","1,489.50",-36.45,-2.39,93.12,"1,394.10","1,725.00","1,342.00",6.18,-9.88,14.60947
ICICIBANK,739,742.05,718.6,720.45,-30.6,-4.07,189.88,"1,385.86",867,465.8,52.41,-13.14,34.1153
INFY,"1,702.55","1,718.35","1,684.00","1,689.55",-32.85,-1.91,44.94,764.67,"1,848.00","1,091.00",51.44,-0.83,
NESTLEIND,"19,148.85","19,434.10","18,982.50","19,250.00",71.95,0.38,0.56,108.61,"20,609.15","16,002.10",9.87,0.17,
RELIANCE,"2,467.80","2,477.60","2,401.50","2,405.10",-87.85,-3.52,72.75,"1,770.19","2,751.35","1,830.00",23.48,-9.62,
TCS,"3,425.00","3,490.00","3,411.90","3,439.20",-6.7,-0.19,19.41,670.58,"3,989.90","2,624.45",27.32,-1.25,
WIPRO,632,634.4,619.65,621.3,-15.4,-2.42,41.39,259.37,739.85,346.25,77.51,-7.01,
